GeneSymbol,Combined T/B,FDR,Affy T/B,Agilent T/B,Illum T/B,Nimbl T/B,AffyT.1,AffyT.2,AffyT.3,AffyB.1,AffyB.2,AffyB.3,AgilT.1,AgilT.2,AgilT.3,AgilB.1,AgilB.2,IllumT.1,IllumT.2,IllumT.3,IllumB.1,IllumB.2,IllumB.3,NimbT.1,NimbT.2,NimbT.3,NimbB.1,NimbB.2,NimbB.3
Lyl1,0.015,<0.00003,,0.003,0.036,0.006,25.1,19.4,36.7,219.3,207.4,235.9,22.9,37.8,31.1,10187.0,10440.0,21.5,35.4,29.3,839.6,696.9,885.1,68.0,53.9,68.4,9954.8,10288.3,9483.6
Fcgr2b,0.015,<0.00003,,0.005,0.030,0.011,9.4,9.5,8.4,148.1,148.1,140.3,5.5,12.4,3.2,1527.1,1502.0,31.1,25.4,24.5,886.6,900.7,890.7,35.6,156.3,122.3,8454.7,11348.1,8542.6
Siglecg,0.016,<0.00003,0.034,0.009,,0.003,15.0,16.2,13.6,457.2,440.6,410.6,22.9,24.7,19.6,2588.0,2222.0,,,,,,,61.9,40.5,44.4,15156.1,14753.5,14751.3
Cd22,0.016,0.000333333333333,0.015,0.003,0.030,0.018,12.2,18.0,14.0,1028.3,966.9,1036.6,13.3,6.5,7.5,3518.0,3218.0,24.7,27.4,28.2,841.7,850.3,1028.7,65.2,39.0,115.7,4586.9,2772.2,4733.9
Kmo,0.017,<0.00003,0.017,0.025,,0.009,5.6,4.8,5.9,316.0,336.2,336.0,4.5,3.1,2.1,128.8,131.5,24.3,18.7,19.7,314.8,361.0,277.8,19.9,21.7,18.1,2267.8,2181.0,2065.5
Ncf2,0.019,<0.00003,,0.007,0.014,0.035,31.5,32.0,37.5,109.4,66.6,86.4,4.6,10.2,8.7,1061.8,1207.0,52.0,41.1,44.9,3068.8,3319.6,3166.2,31.0,52.0,44.0,1400.3,1093.1,1134.6
1300014i06Rik,0.019,<0.00003,0.040,0.002,,0.016,7.8,9.5,6.6,225.4,163.9,203.5,2.9,7.7,3.5,2314.0,2118.0,27.4,24.0,23.9,267.2,232.9,265.6,86.1,127.0,953.8,21854.7,27149.7,25870.1
Ptprj,0.019,<0.00003,0.022,0.008,,0.028,11.9,10.7,10.7,540.2,475.4,490.2,9.3,12.1,13.4,1280.2,1541.2,29.0,29.6,28.2,38.8,36.0,39.2,53.2,50.2,31.5,2093.1,1158.3,1576.8
Plcg2,0.019,0.000666666666667,0.025,0.003,0.007,0.043,9.4,7.5,11.3,368.1,369.1,403.5,19.4,33.4,17.9,7295.0,6366.0,17.0,18.1,19.0,2364.9,2682.6,3075.1,61.9,64.0,74.6,743.1,2053.6,1859.3
6330407a03Rik,0.020,<0.00003,0.022,0.003,0.034,,8.3,10.6,9.9,452.8,386.3,482.0,2.0,2.1,1.9,703.4,884.1,25.6,25.8,25.3,710.0,740.3,780.3,,,,,,
Fcrla,0.020,0.0002,0.056,0.001,,0.002,15.2,20.2,20.0,315.7,320.4,361.9,2.1,2.4,2.3,2638.0,2735.0,,,,,,,34.9,16.4,21.0,11517.0,9106.2,10365.6
Btk,0.020,0.000266666666667,0.034,0.004,0.018,0.025,8.3,6.8,9.8,261.4,223.4,255.0,4.0,1.8,5.5,729.2,1002.5,25.3,28.1,19.8,1361.8,1313.8,1419.3,96.9,87.6,86.3,4356.5,3317.1,3295.3
Il4i1,0.020,<0.00003,,0.009,0.012,0.041,11.4,11.0,13.3,137.3,119.2,126.5,23.3,26.8,25.5,3132.0,2642.0,34.2,29.6,41.6,3024.7,2726.0,3048.6,84.7,157.3,77.2,3146.4,2295.1,2419.3
Cd180,0.021,0.000166666666667,0.015,0.003,,0.047,7.6,8.8,8.6,497.8,585.9,575.4,2.4,5.1,2.3,1002.9,1517.0,,,,,,,31.6,24.5,22.3,652.6,473.9,550.5
Pld4,0.023,<0.00003,0.028,0.037,,0.004,6.9,6.5,6.3,236.8,239.9,229.5,20.0,24.0,20.8,658.6,501.6,,,,,,,20.3,28.3,17.8,6871.1,5310.3,5895.7
Hck,0.024,<0.00003,0.066,0.001,,0.004,10.3,13.7,16.2,233.8,188.6,183.1,2.2,2.3,3.4,2546.0,1857.0,26.8,33.3,28.7,40.1,40.8,44.4,31.1,31.7,28.4,8110.2,7220.4,9592.7
Aldh3b1,0.024,3.33333333333333E-05,,0.018,0.046,0.009,9.4,9.4,11.4,27.9,20.4,24.9,25.1,40.6,20.8,1641.2,1541.2,16.8,23.4,22.1,419.9,469.2,480.1,30.8,51.4,36.9,4937.3,4881.9,3549.7
Ceacam2,0.025,<0.00003,,0.010,0.045,0.021,7.1,8.0,8.5,10.0,18.8,12.6,18.1,16.5,23.4,1933.4,1953.0,43.3,33.3,32.8,793.8,843.5,782.6,52.5,33.8,35.6,1874.7,2000.9,1953.2
Myo1e,0.025,0.000333333333333,0.029,0.019,0.025,0.028,13.5,13.7,11.7,447.7,411.9,470.9,3.6,12.7,8.1,441.8,402.6,42.7,50.2,43.3,1963.1,1738.0,1713.4,41.9,36.5,27.0,1413.6,1164.0,1176.4
H2-oa,0.026,<0.00003,,0.017,0.035,0.025,10.5,10.8,12.4,158.5,196.2,177.9,58.6,54.2,73.4,3302.0,3943.0,74.5,73.3,58.9,1843.0,2114.2,1929.0,70.2,74.3,52.6,2932.1,2926.4,2089.1
Snx8,0.026,0.0001,,0.015,0.027,0.036,13.3,8.8,14.6,194.0,160.5,202.1,39.3,22.7,34.7,2236.0,2109.0,59.7,62.2,59.0,2240.3,2152.0,2320.6,137.6,222.6,160.1,5519.8,3741.8,4993.3
Hs3st1,0.026,<0.00003,,0.009,0.048,0.022,8.7,9.4,10.1,19.5,18.6,24.6,1.8,1.8,1.7,159.7,226.9,20.6,16.9,17.1,345.4,365.0,437.1,28.6,52.1,61.7,2357.5,1818.7,2358.5
Irf8,0.027,<0.00003,0.038,0.014,,0.027,20.7,11.9,16.5,431.8,432.1,416.4,100.6,126.6,94.4,7191.0,7678.0,,,,,,,239.1,188.7,225.0,8045.9,7632.0,8219.4
Rasgef1b,0.027,<0.00003,0.052,0.007,,0.022,6.3,5.8,5.7,117.0,112.6,110.6,14.1,15.3,10.4,1777.8,2136.0,162.6,171.4,150.5,315.8,284.8,306.2,535.3,531.5,708.1,28539.4,27146.8,26599.3
Irf5,0.027,<0.00003,,0.018,0.035,0.029,19.0,25.8,18.8,347.1,331.8,330.7,20.4,25.5,17.6,1222.2,1104.2,54.9,39.4,33.1,1208.9,1113.3,1355.6,29.7,26.8,28.7,1060.2,919.2,936.2
Swap70,0.029,0.0001,,0.025,0.027,0.035,20.4,22.6,20.6,411.9,413.8,438.1,140.3,228.6,110.1,6585.0,6324.0,137.9,119.6,157.8,5170.6,4692.2,5636.4,626.7,278.2,551.0,13976.3,13487.7,13720.7
Blr1,0.029,0.000466666666667,0.028,0.017,0.041,0.031,13.3,12.6,10.8,435.8,415.3,447.2,134.5,113.2,101.7,6715.0,7148.0,55.5,40.8,42.3,1178.7,1196.4,1028.1,185.1,105.5,120.4,4769.5,4039.5,4582.0
Rassf4,0.030,<0.00003,,0.018,0.049,0.022,8.5,6.1,7.6,60.7,67.7,64.8,2.6,1.7,1.8,96.1,126.5,34.6,30.8,26.9,679.3,592.6,611.8,26.1,34.2,29.4,1720.6,1035.6,1286.3
